event_id,tickets_sold,revenue,avg_basket,first_purchase,last_purchase,no_show_rate,event_name,venue_name,event_datetime,capacity,fill_rate
E001,314,12502.369999999999,65.11651041666666,2026-03-06 11:50:00,2026-04-23 18:00:00,0.09895833333333333,Conférence — Session 1,Théâtre du Panier,2026-04-23 19:00:00,400,0.785
E002,838,16098.26,33.26086776859504,2026-04-20 05:20:00,2026-06-14 17:00:00,0.08884297520661157,Théâtre — Session 2,La Friche (scène),2026-06-14 18:00:00,1200,0.6983333333333334
E003,123,1579.2,24.675,2026-01-20 04:20:00,2026-03-06 17:00:00,0.140625,Projection — Session 3,Théâtre Canebière,2026-03-06 18:00:00,250,0.492
E004,83,2367.13,55.04953488372093,2026-05-17 15:00:00,2026-06-25 17:00:00,0.023255813953488372,Théâtre — Session 4,Le Dôme (club),2026-06-25 18:00:00,150,0.5533333333333333
E005,358,8446.26,42.02119402985075,2026-04-02 12:30:00,2026-05-21 18:00:00,0.06965174129353234,Projection — Session 5,Le Dôme (club),2026-05-21 19:00:00,700,0.5114285714285715
E006,115,4536.34,63.00472222222223,2026-02-09 14:30:00,2026-04-01 20:00:00,0.1527777777777778,Festival — Session 6,Dock des Suds (fiction),2026-04-01 21:00:00,150,0.7666666666666667
E007,939,12023.01,22.34760223048327,2026-02-11 10:30:00,2026-04-11 19:00:00,0.09479553903345725,Stand-up — Session 7,Dock des Suds (fiction),2026-04-11 20:00:00,1200,0.7825
E008,225,2713.32,21.36472440944882,2026-01-23 05:30:00,2026-03-19 19:00:00,0.09448818897637795,Concert — Session 8,Théâtre du Panier,2026-03-19 20:00:00,250,0.9
E009,235,4492.7,30.562585034013605,2026-01-12 14:30:00,2026-03-09 20:00:00,0.06802721088435375,Danse — Session 9,Espace Joliette,2026-03-09 21:00:00,400,0.5875
E010,261,4091.5,26.568181818181817,2026-01-19 15:30:00,2026-03-16 19:00:00,0.05194805194805195,Projection — Session 10,Théâtre du Panier,2026-03-16 20:00:00,400,0.6525
E011,580,7454.88,21.926117647058824,2026-02-12 05:30:00,2026-04-07 17:00:00,0.09117647058823529,Danse — Session 11,Espace Joliette,2026-04-07 18:00:00,700,0.8285714285714286
E012,373,5645.53,27.810492610837436,2026-01-16 12:10:00,2026-03-16 18:00:00,0.07389162561576355,Concert — Session 12,Le Dôme (club),2026-03-16 19:00:00,400,0.9325
E013,260,6132.16,39.058343949044584,2026-02-11 18:30:00,2026-04-23 20:00:00,0.09554140127388536,Danse — Session 13,Théâtre du Panier,2026-04-23 21:00:00,400,0.65
E014,157,3021.91,33.207802197802195,2026-03-17 12:20:00,2026-05-11 19:00:00,0.02197802197802198,Conférence — Session 14,Espace Joliette,2026-05-11 20:00:00,250,0.628
E015,613,6362.6,18.075568181818184,2026-04-25 14:10:00,2026-06-27 18:00:00,0.08238636363636363,Théâtre — Session 15,Dock des Suds (fiction),2026-06-27 19:00:00,700,0.8757142857142857
E016,294,3764.61,22.144764705882352,2026-03-21 06:50:00,2026-05-29 20:00:00,0.08823529411764706,Projection — Session 16,Le Dôme (club),2026-05-29 21:00:00,700,0.42
E017,120,4791.94,67.49211267605634,2026-01-05 08:10:00,2026-03-11 18:00:00,0.056338028169014086,Stand-up — Session 17,Le Dôme (club),2026-03-11 19:00:00,150,0.8
E018,1359,32579.4,41.031989924433255,2026-03-07 12:40:00,2026-05-17 19:00:00,0.0818639798488665,Danse — Session 18,Salle du Vieux-Port,2026-05-17 20:00:00,2000,0.6795
E019,333,3438.63,17.816735751295337,2026-03-02 06:20:00,2026-05-01 18:00:00,0.07253886010362694,Concert — Session 19,Le Dôme (club),2026-05-01 19:00:00,400,0.8325
E020,303,4829.32,27.91514450867052,2026-04-10 12:00:00,2026-05-29 18:00:00,0.11560693641618497,Conférence — Session 20,Salle Prado,2026-05-29 19:00:00,700,0.4328571428571429
E021,224,4182.82,32.424961240310076,2026-04-20 16:50:00,2026-06-18 19:00:00,0.08527131782945736,Stand-up — Session 21,La Friche (scène),2026-06-18 20:00:00,250,0.896
E022,94,2935.29,61.151875,2026-03-27 14:10:00,2026-05-17 17:00:00,0.10416666666666667,Conférence — Session 22,Théâtre Canebière,2026-05-17 20:00:00,150,0.6266666666666667
E023,165,3155.61,31.5561,2026-04-16 10:30:00,2026-06-04 17:00:00,0.05,Théâtre — Session 23,La Friche (scène),2026-06-04 18:00:00,250,0.66
E024,232,4389.49,32.04007299270073,2026-01-18 15:50:00,2026-03-30 18:00:00,0.0948905109489051,Danse — Session 24,Salle du Vieux-Port,2026-03-30 19:00:00,400,0.58
